owner_id,show,num,considered,mean_top5,sample,owner_application_date,owner_number_of_shows,error_type,error
044e9ae9-c6a7-c53d-a570-2a26b4e455ed,0,0,10,0.496,"[{'user_id': '698a8e67-0083-b180-80fd-64514771d158', 'score': 0.7215}, {'user_id': 'b5579128-f5d0-6056-747e-75e0ad260a8c', 'score': 0.4769}, {'user_id': 'c6b8a2b9-c691-2780-8711-d14e3b80241a', 'score': 0.4531}]",2025-07-03,0,,
04cc4a5f-1b97-b3e0-be73-94dc559d189b,0,0,6,0.5221,"[{'user_id': 'b222c70e-08ba-0212-fc0d-7d6b45a5b64b', 'score': 0.7772}, {'user_id': '04315916-c790-51ad-2d6e-20a4a380a2d7', 'score': 0.5228}, {'user_id': 'cdafe5f3-afad-0463-cba3-e97ac54abefc', 'score': 0.4898}]",2025-07-28,0,,
06e4884b-aa37-22a6-e9bd-1fd6a76c3f8a,0,0,10,0.6179,"[{'user_id': '4e959be2-f2d2-d685-5a46-430b21f93d6b', 'score': 0.637}, {'user_id': 'b2be4a3a-c989-9143-39d1-b1827c3aa36b', 'score': 0.6228}, {'user_id': '8c003a51-9953-7db4-d1b9-4b9f7456b070', 'score': 0.6199}]",2025-08-03,0,,
08f44c3c-106a-7dc0-7c6d-75ee961e08e5,0,0,10,0.6781,"[{'user_id': '5b201980-5121-39d3-3267-040d02c780a7', 'score': 0.7012}, {'user_id': '689a5cdf-5c50-b442-3e55-99a3f6d6f477', 'score': 0.7011}, {'user_id': '6db4050a-6ab8-03d4-f033-21bf3df29e4a', 'score': 0.6684}]",2025-07-17,0,,
0c5d2803-431d-8623-38db-94261add7a9a,0,0,10,0.631,"[{'user_id': '36e6adce-202f-8de7-6ad0-24c5f7ee6794', 'score': 0.7923}, {'user_id': 'e87fa6b9-0333-dc54-eceb-45bbd60bce5d', 'score': 0.6013}, {'user_id': 'c716628b-6751-9fb4-0e5f-3104ffbf5c93', 'score': 0.5891}]",2025-07-06,0,,
0de873c2-5d50-a544-f1ce-0fc090e83a57,0,0,10,0.5784,"[{'user_id': '02543539-fea9-19fd-d10d-3bfe6d0b1279', 'score': 0.7041}, {'user_id': 'bad8a610-fe50-c40b-4fe1-0f4615a57024', 'score': 0.5766}, {'user_id': 'd5a27b6c-e402-40d1-cf8a-b109a655ea04', 'score': 0.5476}]",2025-07-26,0,,
0f4af15c-6304-d387-d92d-e861cad83e87,0,0,0,0.0,[],2025-07-27,0,,
155d10fa-fe6f-7539-962d-474e19949fae,0,0,0,0.0,[],2025-07-16,0,,
1a627524-87d3-68e9-b039-e3be337acccf,0,0,8,0.4681,"[{'user_id': 'a46d91bd-e4fa-82f4-ca62-ed9243c08781', 'score': 0.5625}, {'user_id': '4bceb268-f5f3-fbfd-8220-ebfbf9810d15', 'score': 0.5292}, {'user_id': '66fe8be3-b7d1-268f-a12b-9fedbe3e5b0e', 'score': 0.4568}]",2025-07-11,0,,
20a93be3-a9dd-a28f-fa02-6a4bb1deb95d,0,0,10,0.5531,"[{'user_id': '2cc88e4a-c5fc-0482-6af8-1abe226290d3', 'score': 0.6403}, {'user_id': '061a4fdd-c287-ea50-282b-3fb79fbfd1f3', 'score': 0.5671}, {'user_id': '1b3dafdd-c068-5a4a-a23c-9734244b4af8', 'score': 0.5334}]",2025-08-04,0,,
2371863a-5dad-d260-a926-e3d90547288f,0,0,10,0.5741,"[{'user_id': '674c389a-fd59-7e69-ae5d-03c1428c42ce', 'score': 0.7108}, {'user_id': '62112fd5-4a53-75b8-75fa-a07441707a7d', 'score': 0.5799}, {'user_id': '061a4fdd-c287-ea50-282b-3fb79fbfd1f3', 'score': 0.5428}]",2025-07-13,0,,
